Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Gas High Pressure,18 Sperry Place,Staten Island,12/6/16 9:47,12/6/16 10:57,40.54712853,-74.19440698
Fire-2nd Alarm,,Brooklyn,4/21/15 5:35,4/21/15 7:47,,
Fire-2nd Alarm,106-35 96 Street,Queens,4/28/15 2:24,4/28/15 7:28,,
Law Enforcement-Other,1200 Manor Road,Staten Island,5/14/15 10:24,5/14/15 11:27,40.59729934,-74.12391798
Fire-2nd Alarm,73 Monroe St,Manhattan,5/31/15 15:37,6/1/15 10:27,40.71443043,-74.00609861
Utility-Power Outage,393 Powell Street,Brooklyn,6/20/11 18:53,6/20/11 22:42,40.66457228,-73.90265587
Structural-Stability Problem,472 Park Ave,Brooklyn,6/15/11 22:21,6/21/11 12:48,40.6966509,-73.95765877
HazMat-Radiation,34-02 Queens Blvd,Queens,6/21/11 12:42,6/21/11 14:04,40.74453657,-73.93060156
LawEnforcement-Haz Mat,180 Madison Ave,Manhattan,4/30/12 14:34,4/30/12 18:19,40.74751234,-73.98315308
Fire-1st Alarm,700 8 Avenue,Manhattan,3/15/13 11:39,3/15/13 17:09,40.75866218,-73.98873796
Fire-10-77 (Residential High Rise),780 Concourse Village West,Bronx,3/16/13 12:24,3/16/13 13:36,40.82394505,-73.92286966
Fire-Transformer,140 West 51 Street,Manhattan,1/6/14 14:32,1/7/14 4:07,40.76130174,-73.98183563
Utility-Manhole,225 Lincoln Place,Brooklyn,1/7/14 1:42,1/7/14 4:32,40.67512828,-73.97301938
Structural-Collapse,,Staten Island,6/18/14 4:36,6/24/14 19:10,,
Utility-Water Service Line,4011 Monticello Avenue,Bronx,11/16/16 11:13,11/16/16 11:47,40.89194702,-73.83857458
Utility-Sewer Service,3030 Godwin Terrace,Bronx,11/16/16 10:34,11/16/16 13:01,40.87841168,-73.90648401
HazMat-Other,,Brooklyn,11/17/16 11:57,11/17/16 13:46,,
Structural-Falling Debris,280 Cadman Plaza West,Brooklyn,11/20/16 22:55,11/20/16 23:40,40.69571077,-73.99104465
Fire-2nd Alarm,119-56 Long Street,Queens,11/21/16 5:15,11/21/16 8:21,40.71400364,-73.82998933
Utility-Other,1312 Caton Ave,Brooklyn,11/21/16 16:11,11/21/16 16:22,40.64972464,-73.96752068
Utility-Other,East 74th Street & 1st Avenue,Manhattan,12/6/16 13:55,12/6/16 14:15,40.71442154,-74.00607638
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/16 12:13,12/7/16 12:54,40.71442154,-74.00607638
Structural-Partial Collapse,2717 Gifford Avenue,Bronx,12/7/16 17:30,12/7/16 19:18,40.83107702,-73.83363699
Fire-2nd Alarm,24 Charles Street,Manhattan,12/14/16 22:26,12/16/16 10:36,40.71442154,-74.00607638
Fire-2nd Alarm,1747 West 6 Street,Brooklyn,12/15/16 17:05,12/16/16 10:56,40.60467676,-73.97901518
Administration-Meeting,720 Hunts Point Avenue,Bronx,12/14/16 14:50,12/17/16 7:13,40.81509289,-73.88636923
Medical-EMS MCI (Multiple Casualty Incident),8102 Avenue J,Brooklyn,6/21/11 13:33,6/21/11 14:53,40.63442448,-73.91054698
Utility-Gas Service Line,488 East 163rd Street,Bronx,6/22/11 9:14,6/22/11 10:27,40.82453422,-73.91018302
Utility-Manhole,Long Island Expressway (Eastbound) & Maurice Avenue,Queens,6/24/11 18:24,6/24/11 23:23,,
Structural-Life Safety Violations,35 Market street,Manhattan,7/6/11 10:49,7/7/11 10:48,40.71253702,-73.99440534
Utility-Gas Main Rupture,110-10 179 Place,Queens,7/7/11 10:04,7/7/11 21:06,40.69923006,-73.7749345
Transportation-Commuter Bus,Clarendon Rd & Utica Ave,Brooklyn,1/7/15 17:03,1/7/15 20:00,40.6444315,-73.92959942
Fire-2nd Alarm,276 Windsor Place,Brooklyn,4/23/15 11:11,4/23/15 13:08,40.65707913,-73.97525403
Utility-Manhole,East 38th Street & Park Ave,Manhattan,6/28/15 12:41,6/28/15 14:49,40.74960324,-73.97950371
Law Enforcement-Suspicious Package,50 W 15 Street,Manhattan,6/28/15 15:18,6/28/15 16:18,40.73736062,-73.99473163
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/16 15:53,,40.71400364,-73.82998933
Structural-Sidewalk Collapse,927 Broadway,Manhattan,10/29/16 12:13,11/17/16 18:06,40.71442154,-74.00607638
Fire-6th Alarm,324 East 93rd,Manhattan,10/27/16 3:40,11/23/16 10:01,40.71442154,-74.00607638
Fire-1st Alarm,3701 White Plains Road,Bronx,12/17/16 12:44,12/18/16 0:34,40.88175093,-73.86439426
Fire-3rd Alarm,2384 86th Street,Brooklyn,6/25/11 10:07,6/25/11 15:47,40.59925408,-73.98939502
Structural-Street Collapse,Bowery & Delancy St,Manhattan,6/25/11 16:56,6/25/11 19:54,40.72032388,-73.99403672
Structural-Collapse,19 Troutman Street,Brooklyn,5/18/11 17:06,7/8/11 13:17,40.69761936,-73.933503
Fire-2nd Alarm,25 Division Place,Brooklyn,7/8/11 3:18,7/8/11 13:19,40.72049202,-73.93946873
Utility-Gas Main Rupture,640 West 249 Street,Bronx,7/8/11 11:37,7/8/11 13:41,40.89754388,-73.91100675
Fire-2nd Alarm,15-15 Hazen Street,Queens,7/10/11 20:52,7/11/11 11:27,40.7914098,-73.88433754
Structural-Overturned Crane,Knapp Street & Shore Parkway,Brooklyn,7/11/11 14:18,7/12/11 0:00,,
Utility-Water Condition,943 Sherman Ave,Bronx,7/12/11 13:19,7/12/11 15:02,40.82810627,-73.91919001
Structural-Bricks,4623 Church Avenue,Brooklyn,6/27/15 19:37,6/29/15 5:01,40.65158425,-73.93397053
Utility-Water Main,West 28 Street and Mermaid Avenue,Brooklyn,7/9/15 7:04,7/9/15 15:16,40.57557503,-73.99431602
Fire-Collapse,311 76 Street,Brooklyn,7/9/15 17:29,7/10/15 15:39,40.63061878,-74.02747421
Law Enforcement-Explosion,2016 La Fontaine Avenue,Bronx,7/11/15 11:49,7/11/15 12:58,40.84785009,-73.89351413
Structural-Other,1277 E 14 Street,Brooklyn,7/19/15 16:56,7/19/15 17:50,40.61848075,-73.96106186
Structural-Collapse,27 West 38 Street,Manhattan,10/30/15 10:39,4/5/17 19:30,40.7514237,-73.98379814
Fire-Hospital,25-10 30th Avenue,Queens,6/27/11 13:27,6/27/11 14:22,40.7684451,-73.92472458
Fire-2nd Alarm,144 Bay Terrace,Staten Island,6/27/11 14:19,6/27/11 16:25,40.55404483,-74.13528484
Structural-Retaining Wall Collapse,2500 Palisades Ave,Bronx,8/28/11 11:53,8/28/11 20:13,,
LawEnforcement-Suspicious Package,Koch Bridge,Manhattan,9/9/11 21:10,9/9/11 21:56,,
LawEnforcement-Suspicious Package,E. 40th Street & Park Avenue,Manhattan,9/20/11 9:26,9/20/11 10:06,40.75084371,-73.97860824
Utility-Water Main,461 Central Park West,Manhattan,9/19/11 11:18,9/20/11 10:47,40.79830345,-73.95985509
Utility-Steam Service Line,180 E 79 Street,Manhattan,10/5/11 9:21,10/5/11 9:37,40.77454161,-73.95792697
Transportation-School Bus,Liverpool Street & Glassboro Avenue,Queens,1/12/12 15:02,1/12/12 16:10,40.6894673,-73.79887452
LawEnforcement-Suspicious Package,East 8 Street & Avenue C,Manhattan,1/12/12 17:15,1/12/12 17:46,40.72469167,-73.9784146
Fire-1st Alarm,543 Southern Boulevard,Bronx,9/24/15 6:48,9/24/15 8:19,40.81229569,-73.90361027
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/16 13:03,,40.71400364,-73.82998933
Law Enforcement-Other,,Brooklyn,10/29/16 17:35,11/17/16 20:19,,
HazMat-High Carbon Monoxide,344 West 87 Street,Manhattan,12/17/16 18:05,12/18/16 1:56,40.71442154,-74.00607638
Fire-2nd Alarm,152 23 Street,Brooklyn,12/18/16 3:42,12/18/16 13:34,40.66208512,-73.99773598
Structural-Bricks,42-09 28 St,Queens,12/18/16 16:00,12/18/16 23:34,40.71400364,-73.82998933
Utility-Gas High Pressure,1100 South Ave,Staten Island,6/29/11 12:28,6/29/11 14:30,40.61147381,-74.1762226
Medical-Injured Construction Worker,Aqueduct Racetrack,Queens,6/30/11 9:39,6/30/11 12:20,,
Structural-Tractor Trailer Hit Overpass,Sheriden Expresswway & Cross Bronx Expressway,Bronx,6/30/11 15:55,6/30/11 18:48,,
HazMat-High Carbon Monoxide,2300 Southern Blvd,Bronx,7/1/11 11:01,7/1/11 11:08,40.85066911,-73.88241995
Utility-Other,50 Humboldt Street,Brooklyn,7/29/15 19:00,7/29/15 20:02,40.70317873,-73.9407612
Utility-Manhole,45 Wadsworth Terrace,manhattan,7/30/15 6:35,7/30/15 15:31,40.85588799,-73.93156985
Marine-Passenger Liner,,Manhattan,8/12/15 17:50,8/17/15 11:04,40.70410153,-74.00582623
Structural-Scaffold,2 Mott Street,Manhattan,8/17/15 20:16,8/17/15 21:44,40.71376405,-73.99866894
Law Enforcement-Suspicious Package,Fulton Street & Lafayette Avenue,Brooklyn,8/18/15 9:56,8/18/15 10:44,40.68702483,-73.97620565
Utility-Water Main,,Manhattan,8/19/15 18:08,8/21/15 16:19,40.73043392,-74.00014389
Fire-Haz Mat,3000 Broadway,Manhattan,9/3/15 11:05,9/3/15 12:27,40.80896233,-73.96318648
Transportation-Other,234 West 31 Street,Manhattan,9/4/15 9:04,9/4/15 9:32,40.74956369,-73.9931246
Fire-Haz Mat,1779 Richmond Avenue,Staten Island,9/4/15 10:09,9/4/15 12:37,40.60501666,-74.16224321
Law Enforcement-Suspicious Package,601 West 26 Street,Manhattan,11/17/16 19:12,,40.71442154,-74.00607638
Utility-Water Main,450 Timpson Place,Bronx,11/24/16 13:57,11/25/16 14:56,40.80991559,-73.90589425
Rescue-Technical,81-10 134 Street,Queens,11/22/16 12:24,11/26/16 6:45,40.71400364,-73.82998933
Fire-10-76 (Commercial High Rise Fire),130 East 57 Street,Manhattan,11/26/16 5:45,11/26/16 7:43,,
Fire-10-76 (Commercial High Rise Fire),1855 Broadway,Manhattan,12/18/16 22:47,12/19/16 3:28,40.71442154,-74.00607638
Fire-2nd Alarm,112 Taylor STreet,Staten Island,12/16/16 4:45,12/19/16 8:25,40.63617531,-74.12338634
Fire-2nd Alarm,53-09 Beach Channel Drive,Far Rockaway,12/18/16 17:52,12/19/16 10:16,40.59508345,-73.78400536
Structural-Life Safety Violations,769 MacDonough Street,Brooklyn,12/19/16 8:25,12/19/16 13:43,,
HazMat-Suspicious White Powder,1211 6th Avenue,Manhattan,5/1/12 10:14,5/1/12 12:59,40.75839226,-73.98153683
LawEnforcement-Civil Unrest,,Manhattan,10/1/11 16:52,5/2/12 5:21,40.70980202,-74.01092675
Fire-Hospital,3424 Kossuth Avenue,Bronx,9/5/15 18:36,9/5/15 20:58,40.88046202,-73.8816404
Law Enforcement-Suspicious Package,,Brooklyn,9/20/15 17:41,9/20/15 18:40,,
Law Enforcement-Suspicious Package,200 Duane Road,Queens,9/22/15 10:21,9/22/15 11:02,40.7893943,-73.77578532
Fire-1st Alarm,5 East 74 Street,Manhattan,9/23/15 6:35,9/23/15 7:38,40.77361097,-73.96567195
Fire-10-77 (Residential High Rise Fire),158 West 58 Street,Manhattan,9/23/15 9:26,9/23/15 10:36,40.76566802,-73.97831468
Fire-2nd Alarm,238 East 24 Street,Manhattan,11/25/16 4:06,11/26/16 19:04,40.71442154,-74.00607638
Law Enforcement-Suspicious Package,Lafayette Street & Leonard Street,Manhattan,11/28/16 0:33,11/28/16 1:03,,
Utility-Water Main,Watson Avenue  & Colgate Avenue,Bronx,12/17/16 23:32,12/19/16 22:53,40.82565354,-73.88134827
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/16 9:04,12/20/16 9:46,,
Utility-Water Service Line,4570 Furman Ave,Bronx,7/2/11 8:30,7/2/11 15:24,40.90095703,-73.8511819
HazMat-Fumes,149 Dartmouth Loop,Staten Island,7/1/11 11:45,7/2/11 15:37,40.5679938,-74.10969306
Utility-Water Main,149 Avenue & Huxley Street,Queens,7/3/11 7:42,7/3/11 15:33,40.65302517,-73.73894299
Structural-Falling Debris,151 West 34 Street,Manhattan,7/5/11 15:32,7/5/11 17:50,40.75043897,-73.98929516
LawEnforcement-Haz Mat,100 Gold Street,Manhattan,4/30/12 16:00,4/30/12 19:44,40.71042911,-74.00391722
HazMat-Solid,40 West 57 St.,Manhattan,5/2/12 14:22,5/2/12 16:04,40.7635375,-73.97535165
Rescue-Catwalk Collapse,4435 Victory Boulevard,Staten Island,5/3/12 11:32,5/3/12 12:59,40.58675439,-74.19954881
Fire-2nd Alarm,220-01 Hempstead Avenue,Queens,4/30/12 3:38,5/3/12 14:37,40.71290866,-73.73437625
Fire-2nd Alarm,North Boundry Road & 155 Street,Queens,9/23/15 10:50,9/23/15 13:16,,
Fire-1st Alarm,150-05 Cohancy Street,Queens,11/20/16 13:03,11/28/16 9:52,40.71400364,-73.82998933
Fire-2nd Alarm,851 East 219 St,Bronx,11/28/16 15:48,11/28/16 19:16,40.88207728,-73.85803161
Fire-3rd Alarm,1038 Southern Blvd,Bronx,11/27/16 20:32,11/29/16 10:38,40.82392414,-73.8918251
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/16 11:25,12/20/16 12:45,40.71400364,-73.82998933
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/16 7:16,12/20/16 15:48,40.6268184,-73.98983949
Utility-Other,131 Broome Street,Manhattan,12/20/16 19:24,12/20/16 21:41,40.71442154,-74.00607638
Rescue-Confined Space,52-11 111th Street,Queens,5/4/12 0:00,5/4/12 3:51,40.74403396,-73.85181031
Utility-Power Outage,317 East 17 Street,Manhattan,5/4/12 13:15,5/4/12 18:02,40.73398891,-73.98290031
Utility-Manhole,233 East 69th Street,Manhatan,9/23/15 7:11,9/24/15 10:05,40.76725804,-73.96067524
HazMat-Other,Dean Street & Schenectady Avenue,Brooklyn,9/24/15 18:44,9/24/15 19:07,40.67596844,-73.93322536
Transportation-Other,6th Avenue & West 30 Street,Manhattan,9/28/15 9:20,9/28/15 17:09,40.74727705,-73.98961687
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/16 15:53,11/19/16 13:26,40.71400364,-73.82998933
Transportation-Commuter Train,E 59 St & Park Ave,Manhattan,7/11/11 19:17,7/11/11 21:05,40.76291312,-73.96979992
Fire-Haz Mat,1500 Noble Ave,Bronx,7/6/12 0:20,7/6/12 1:43,40.8372468,-73.87149719
Weather-Severe Weather,1615 Carnisie Road,Brooklyn,9/8/12 11:46,9/8/12 13:56,,
Structural-Stability Problem,250 E 139 St.,Bronx,10/12/12 13:32,10/12/12 18:24,40.81197531,-73.92705238
Rescue-Technical,56th Road  & 43rd,Queens,9/29/15 12:26,9/29/15 13:18,40.72878165,-73.92614403
Fire-1st Alarm,151 West 100 Street,New York,12/23/16 13:36,,40.71442154,-74.00607638
Fire-2nd Alarm,76  Willoughby Street,Brooklyn,9/20/11 11:14,9/20/11 12:54,40.69216736,-73.98574537
Structural-Construction Accident,East 92 Street & 2 Avenue,Manhattan,9/20/11 14:25,9/20/11 14:42,40.78168803,-73.94896026
Structural-Scaffold,98 Remsen St.,Brooklyn,5/5/12 11:26,5/5/12 17:18,40.6941773,-73.99485404
LawEnforcement-Suspicious Package,160 Beach 29th Street,Queens,5/7/12 15:50,5/7/12 16:04,40.59362769,-73.76170492
HazMat-Fuel,83-34 23rd Ave,Queens,10/26/12 5:51,10/26/12 7:52,40.76666775,-73.88610973
Fire-2nd Alarm,20-4 Seagirt Blvd,Queens,12/13/12 3:44,12/13/12 5:44,40.59516322,-73.75444742
Fire-2nd Alarm,,Manhattan,12/26/12 11:52,12/26/12 13:00,,
LawEnforcement-Suspicious Package,40 Wall Street,Manhattan,3/15/13 9:36,3/15/13 10:46,40.70662451,-74.00987545
Fire-Manhole,4301 15 avenue,Brooklyn,9/29/15 22:16,9/30/15 12:47,40.63563846,-73.98429824
Utility-Water Main,663 Morris Park Avenue,Bronx,9/30/15 14:20,9/30/15 21:34,40.84498489,-73.8673077
Law Enforcement-Other,524 west 57 street,manhattan,9/30/15 22:28,9/30/15 22:45,40.76973733,-73.99005021
Utility-Power Outage,2800 Victory Blvd,Staten Island,9/30/15 9:24,9/30/15 23:55,40.6088524,-74.15333514
Utility-Manhole,100 East 77th Street,Manhattan,9/30/15 6:59,10/1/15 8:19,40.77417769,-73.96114774
HazMat-Other,Rockaway Beach Boulevard & Beach 49 Street,Queens,10/1/15 9:55,10/1/15 13:16,40.59329031,-73.77970603
Law Enforcement-Other,1200 Manor Road,Staten Island,10/2/15 12:48,10/2/15 13:35,40.59729934,-74.12391798
Weather-Flooding,Beach Channel Drive & Beach 60 Street,Queens,10/2/15 15:53,10/2/15 21:16,40.749607,-74.03505312
Structural-Parapet,833 Van Siclen Avenue,Brooklyn,10/2/15 10:20,10/3/15 11:48,40.65959339,-73.88497337
Utility-Water Main,Sunnyside Yards,Queens,11/9/11 8:07,11/9/11 9:54,,
HazMat-Fuel,5th Avenue & E. 37th Street,Manhattan,3/15/13 7:59,3/15/13 10:49,40.75034218,-73.98317401
HazMat-Fuel,2nd Avenue & 36th Street,Brooklyn,3/28/13 9:42,3/28/13 11:52,40.65696343,-74.00879046
LawEnforcement-Suspicious Package,East 40 Street  & 3rd Avenue,Manhattan,3/29/13 9:50,3/29/13 10:16,40.74948441,-73.97538212
LawEnforcement-Suspicious Package,2024 Jerome Ave.,Bronx,3/29/13 14:09,3/29/13 15:25,40.8532256,-73.90786698
Structural-Structural Integrity,565 West 181 St.,Manhattan,3/29/13 16:50,3/29/13 19:52,40.84901608,-73.93298297
Structural-Stability Problem,74-16 Beach Channel,Queens,4/2/13 3:19,4/2/13 5:12,,
Fire-2nd Alarm,1073  East 27 Street,Brooklyn,4/4/13 10:05,4/4/13 14:23,40.62487707,-73.9494152
Fire-Manhole,219 Audubon Avenue,Manhattan,7/13/15 21:42,7/14/15 1:43,40.84560809,-73.93460924
Transportation-Commuter Bus,177-45 Meadow Rd,Queens,10/3/15 22:01,10/4/15 1:02,40.6665055,-73.77012096
Utility-Water Main,,Manhattan,12/7/16 10:12,12/7/16 19:21,,
Fire-2nd Alarm,450 X Avenue,Brooklyn,12/21/16 21:49,12/22/16 0:00,40.59092917,-73.96630208
Utility-Gas High Pressure,2739 Lawton Avenue,Bronx,5/13/14 9:30,5/13/14 10:59,40.81586753,-73.82186053
LawEnforcement-Bomb Threat,1875 East 17 Street,Brooklyn,5/13/14 10:18,5/13/14 11:23,40.60421499,-73.95544615
Structural-Tour Bus into Scaffolding,356 West 48 Street,Manhattan,7/19/11 9:52,7/19/11 11:19,40.76168962,-73.98858584
Other-Collier's Mansion,168-30 106th Avenue,Queens,7/19/11 9:40,7/19/11 13:09,40.70040591,-73.78853419
HazMat-High Carbon Monoxide,227 Cherry Street,Manhattan,7/19/11 11:27,7/19/11 18:24,40.71105463,-73.99095713
Structural-Construction Accident,45 East 49 Street,Manhattan,7/20/11 7:59,7/20/11 11:08,40.75701602,-73.97550928
Utility-Water Main,3rd Ave  & East 23rd Street,Manhattan,4/3/13 7:30,4/4/13 15:48,40.73883069,-73.98314805
Structural-Falling Debris,51 Jay street,Brooklyn,7/14/15 9:32,7/14/15 10:26,40.70326456,-73.98662662
Medical-Other,West 40 Street & 6 Avenue,Manhattan,9/4/15 16:07,9/4/15 17:32,40.75355379,-73.98504285
Utility-Water Main,695 Park Avenue,Manhattan,10/4/15 11:38,10/5/15 10:18,40.76897227,-73.96536748
Law Enforcement-Suspicious Package,,Manhattan,10/5/15 14:36,10/5/15 15:32,40.74404393,-73.97819222
Utility-Power Outage,320 Beach 104th Street,Queens,12/22/16 10:48,12/22/16 12:03,,
Fire-4th Alarm,214 Rockaway Parkway,Brooklyn,7/4/14 1:39,11/2/14 12:30,40.66183328,-73.92093052
Transportation-Train Ground Level,38-40 Review Avenue,Queens,7/20/11 9:00,7/20/11 13:11,40.73229532,-73.93594362
Structural-Street Collapse,133 East 15th Street,Manhattan,7/20/11 12:28,7/20/11 14:26,40.73450281,-73.98789409
HazMat-Odoro of Gas,166-01  116th Avenue,Queens,11/17/11 10:32,11/17/11 11:22,40.68679741,-73.78124686
Rescue-High Angle,61 Oliver Street,Brooklyn,11/17/11 9:21,11/17/11 13:08,40.6197106,-74.03840934
Utility-Water Main,West 207 Street & Sherman Avenue,Manhattan,11/18/11 12:42,11/18/11 21:53,40.86579714,-73.91999746
Rescue-Confined Space,UNDERHILL AVE & 168 ST,QUEENS,11/18/11 22:55,11/19/11 0:40,40.7467556,-73.80017404
Structural-Construction Accident,404 Park Avenue South,Manhattan,4/5/13 14:49,4/5/13 17:06,40.74342004,-73.98401661
Fire-School,200 Nedra Lane,Staten Island,5/15/13 13:03,5/16/13 1:25,40.55295507,-74.19457907
Fire-Con Ed Feeder Cables on Fire,,Manhattan,5/24/13 7:02,5/27/13 15:58,40.75650363,-73.95374483
